PID,LotArea,LotShape,BldgTp
0903430060,5520,1,1
0903451090,6876,1,1
0903458170,6240,1,1
0903475100,5775,0,1
0903476090,5852,0,1
0903481120,5160,1,1
0903481130,5160,1,1
0903484110,10320,1,1
0904351200,6629,1,1
0904351240,9780,1,1
0905101260,12886,0,1
0905101490,8816,1,1
0905103040,11184,1,1
0905103070,11625,1,1
0905105190,7800,1,1
0905108190,7252,0,1
0905108220,8740,0,1
0905200220,11616,1,1
0905200260,15400,1,1
0905200350,15312,1,1
0905225090,15584,1,1
0905229040,11250,1,1
0905377010,17140,1,1
0905377130,12342,0,1
0905401100,10708,0,1
0905450020,9855,1,1
0905451300,9571,1,1
0905451340,9571,1,1
0905452040,9350,1,1
0905452050,9340,1,1
0905475160,7440,1,1
0905476230,4235,1,0
0905478030,11409,1,1
0905480030,9060,1,1
0905480210,9084,1,1
0906201021,10778,0,1
0906201050,19255,0,1
0906201130,12327,0,1
0906203120,14684,0,1
0906223060,9317,1,1
0906223080,10560,1,1
0906223210,9828,0,1
0906340110,10637,1,1
0906340120,10226,0,1
0906378110,9178,1,1
0906380050,10769,0,1
0906380060,11422,0,1
0906380100,11923,0,1
0906380130,8814,1,1
0906380210,6762,1,1
0906380220,10324,0,1
0906392070,7314,1,1
0906392110,11645,1,1
0906392130,11646,0,1
0906402060,12800,1,1
0906426210,16698,0,1
0906475070,28698,0,1
0907126010,12464,0,1
0907126050,9757,1,1
0907130100,15426,0,1
0907131090,10667,0,1
0907131190,14753,0,1
0907135040,10859,1,1
0907135170,8072,1,1
0907194010,12420,1,1
0907194110,16285,0,1
0907194160,10739,0,1
0907196060,11166,1,1
0907200230,8430,1,1
0907201220,16269,0,1
0907201280,6950,0,1
0907202050,8800,0,1
0907202080,7000,0,1
0907202130,9286,0,1
0907227030,15523,0,1
0907227080,7200,1,1
0907227110,7200,1,1
0907227290,8445,1,1
0907250070,11664,1,1
0907252060,12334,0,1
0907252210,11838,1,1
0907252220,11885,1,1
0907253130,11050,1,1
0907265010,11250,1,1
0907275010,15750,1,1
0907275090,11883,1,1
0907275140,12782,1,1
0907290070,9100,1,1
0907290090,9750,1,1
0907290180,4435,1,0
0907290210,4435,1,0
0907410130,10200,1,1
0907412020,9313,0,1
0907414020,8487,1,1
0907414080,8633,1,1
0907420040,11069,1,1
0908102270,9937,1,1
0908102290,8877,1,1
0908151050,7950,0,1
0908152100,7200,1,1
0908201040,9405,1,1
0908203090,6410,1,1
0908225290,11767,1,1
0908229020,4060,1,1
0908275110,11767,1,1
0909101010,12354,1,1
0909101100,8212,1,1
0909101140,10998,1,1
0909129100,4500,0,1
0909175080,8400,1,1
0909178160,9900,1,1
0909250080,5707,1,1
0909250220,7804,1,1
0909251050,8574,1,1
0909251170,6171,1,1
0909252020,7200,1,1
0909253010,7558,1,1
0909253180,6292,1,1
0909254010,7155,1,1
0909257050,10918,1,1
0909275080,13680,1,1
0909276110,7500,0,1
0909282130,9100,1,1
0909425060,12000,1,1
0909425130,13339,0,1
0909426090,15600,1,1
0909427200,14000,1,1
0909451040,1733,1,0
0909451100,1488,1,0
0909451140,1612,1,0
0909451180,1300,1,0
0909452050,13607,0,1
0909475040,17597,1,1
0909475300,21695,0,1
0910202070,10690,1,1
0910204050,8660,1,1
0910205020,6402,1,1
0911104060,10200,1,1
0914465020,10125,1,1
0914465040,12822,0,1
0914465055,12118,0,1
0914474070,12209,0,1
0916380070,12898,0,1
0916382010,13159,0,1
0916386140,8925,0,1
0916403010,11457,0,1
0916403200,9839,0,1
0916455070,6853,0,1
0916460110,9157,0,1
0923201100,12518,0,1
0923203110,4500,1,0
0923203190,4500,1,0
0923225360,1596,1,0
0923225490,9858,1,1
0923226270,1526,1,0
0923227080,13383,0,1
0923228110,1477,1,0
0923228150,1533,1,0
0923228230,2217,1,0
0923230200,7689,0,1
0923252075,7706,1,1
0923275040,9101,0,1
0923275140,8780,0,1
0923276260,7669,1,1
0923400110,10429,1,1
0924100040,9819,0,1
0924100060,10457,0,1
0526353050,12925,0,1
0526354070,11075,1,1
0527105050,8702,0,1
0527106050,8139,1,1
0527106140,9535,0,1
0527106150,9042,0,1
0527107010,15038,0,1
0527107090,14137,0,1
0527107210,21872,0,1
0527127140,4923,1,0
0527131110,6264,0,1
0527140090,5395,0,0
0527145090,5070,0,0
0527161010,10839,0,1
0527162180,11184,0,1
0527212050,11198,0,1
0527226020,31220,0,1
0527276040,47280,0,1
0527301170,20544,0,1
0527301245,12680,0,1
0527302050,12090,0,1
0527302070,10825,0,1
0527302185,18559,0,1
0527302210,14450,1,1
0527325070,12227,0,1
0527325240,13068,1,1
0527326130,15611,0,1
0527354160,10400,1,1
0527357110,9743,1,1
0527357180,12511,0,1
0527358120,11361,1,1
0527359030,10400,1,1
0527359070,10480,1,1
0527378020,10000,1,1
0527380240,14311,0,1
