71046,Male,2,20,191.75,1.3625,-0.15158,-0.059296,Antenna 3,-68.0,5.8659,freq_4,3
66107,Female,Location 2,15,684.13,0.34238,0.28478000000000003,-0.99434,Antenna 3,-63.0,2.6937,freq_3,label 3
22934,M,1,45,249.8,0.63552,0.8589399999999999,0.054735,antenna 1,-67.5,5.2139999999999995,A2,label 2
71302,2,Location 2,20,534.25,1.0225,-0.036746,-0.09350499999999999,Antenna 3,-60.5,5.5453,922.25,label 3
41304,F,Facility A,51,395.73,1.0811,0.043636,-0.10490999999999999,3,-57.5,0.16874,freq_11,label 3
53133,F,2,1,351.25,0.42446000000000006,0.043636,-0.99434,Antenna C,-60.5,1.6628,freq_11,label 3
5361,F,1,19,33.0,0.79967,0.28478000000000003,0.47665,1,-63.5,5.5929,D2,lying
28842,2,1,47,209.83,0.1196,0.99674,0.054735,Antenna B,-47.5,0.018408,freq_8,4
74671,F,Facility B,25,382.25,0.14305,1.0082,0.0091224,Antenna B,-51.5,6.2786,A1,4
1384,Male,1,4,291.0,1.3156,-0.38124,-0.13912,1,-60.0,4.6633,C2,label 3
6912,F,Location 1,27,244.5,0.1196,-0.059712,1.0012,3,-65.5,1.6858,freq_8,3
65902,1,Facility B,15,647.85,0.28376,0.2733,-1.04,3,-68.5,4.1295,D2,lying
72822,M,2,21,777.08,1.1397,-0.14009000000000002,-0.082102,3,-62.0,0.58905,freq_1,3
23454,Male,Facility A,45,296.7,1.0342,0.05511900000000001,-0.16192,Antenna A,-57.0,1.063,F1,label 3
48856,1,Facility A,54,126.0,1.3039,0.05511900000000001,-0.059296,4,-65.0,5.1971,B1,label 3
69849,M,2,18,63.75,0.41273000000000004,0.97377,-0.27595,antenna 1,-68.0,5.6358,924.75,sit on bed
68033,Female,2,17,81.75,0.34238,0.42258,-0.96014,2,-50.0,2.6461,freq_3,label 3
10737,Male,Facility A,39,92.75,0.23685,0.98526,0.16876,Antenna 3,-68.0,6.0638,E2,sit on bed
31340,Male,Location 1,48,205.45,1.1514,-0.025263,-0.059296,Antenna A,-61.5,0.6412,922.75,label 3
21661,2,1,45,85.6,1.2452,-0.082679,-0.059296,antenna 1,-57.0,0.5261600000000001,freq_12,label 3
19077,2,Location 1,44,139.1,0.2134,0.93932,0.16876,1,-59.5,0.7915300000000001,E2,1
66960,1,Facility B,16,116.25,0.28376,0.33071999999999996,-1.0057,3,-66.5,1.9696,freq_4,3
26254,M,1,46,304.0,1.2570000000000001,-0.094162,-0.070699,1,-58.0,5.6481,freq_8,lying
63859,F,Location 2,14,1014.0,0.30721,0.29627,-0.99434,Antenna B,-49.5,2.4406,921.25,3
40928,1,1,51,362.25,0.20168,1.0197,-0.09350499999999999,Antenna A,-56.5,1.2793,A1,sit on bed
21583,Male,1,45,78.05,1.1045,-0.01378,-0.13912,Antenna C,-62.0,2.1921,freq_8,3
56391,1,Location 2,2,1648.0,0.38928,0.11254000000000002,-0.99434,Antenna C,-63.0,2.1721,freq_1,lying
54959,Female,Location 2,2,489.5,0.22513000000000002,0.25033,-1.04,Antenna 3,-61.0,1.6705,F1,lying
72361,2,Facility B,21,443.25,1.2687,-0.15158,0.0091224,3,-63.0,6.2418,freq_3,label 3
66349,Female,Location 2,15,723.58,0.30721,0.29627,-1.0057,Antenna 2,-49.5,1.7533,freq_5,3
8428,Male,Facility A,37,92.25,0.34238,0.97377,0.13455999999999999,antenna 1,-59.0,4.9256,E2,label 1
31428,2,Location 1,48,213.35,1.4094,-0.12861,0.020525,Antenna C,-54.0,5.6803,D1,label 3
26230,Male,Facility A,46,301.48,1.0459,-0.0022965999999999998,-0.17332999999999998,Antenna A,-56.5,4.4225,921.75,label 3
16157,2,Location 1,43,294.85,0.9052,-0.059712,-0.013684,Antenna C,-49.0,4.0037,freq_5,lying
26556,2,1,46,323.08,0.9872799999999999,0.032152999999999994,-0.19613,1,-57.0,0.31446999999999997,922.75,label 3
29998,2,Facility A,48,35.45,1.3156,-0.10565,-0.025087,Antenna 3,-57.0,2.4789,D2,3
55802,Female,Facility B,2,1509.1,0.24858000000000002,0.18143,-1.0628,Antenna 3,-62.0,2.7872,A1,label 3
24858,Male,Facility A,46,146.3,1.1397,-0.036746,-0.09350499999999999,antenna 1,-58.0,0.58445,A1,lying
26614,2,Location 1,46,327.98,1.339,-0.14009000000000002,-0.036489999999999995,1,-57.0,0.32366999999999996,922.75,3
42747,F,1,52,138.75,0.41273000000000004,0.95081,-0.059296,antenna 1,-57.5,0.46633,freq_8,1
51787,1,1,60,27.25,0.65897,0.8589399999999999,0.020525,Antenna 2,-57.5,5.4456,freq_7,sit on chair
