,PID,SalePrice
0,528445060,255563.8134860408
1,528456160,205967.7642281726
2,528458070,201744.1392249805
3,906380190,196436.35029653367
4,906385010,202716.52003475907
5,906385020,202580.5624423623
6,528235010,191587.13197750621
7,528235090,228738.58881025203
8,528240150,33284.81233731611
9,528250020,193350.09865083243
10,528456220,223185.30179412942
11,528456240,188363.20909990766
12,528458020,218807.4660774283
13,528458040,226381.1543268871
14,528458060,214697.93784022145
15,528488100,196484.8995898615
16,528490040,227972.3545722752
17,528490070,207262.3540745934
18,534127130,187373.30471949535
19,534127170,174675.75728504756
20,534128010,227572.09411690733
21,534128020,221777.7630484067
22,907175100,214857.86165013327
23,907180130,225932.69203573558
24,907181100,213574.26277657016
25,907185050,199745.70258324454
26,907192030,208362.00692520803
27,907192090,232559.8736856319
28,907280170,42150.23360292381
29,907285020,245233.86015112652
30,907285050,210981.14616885828
31,527163100,179733.67350032064
32,527164120,226047.04226390924
33,527165010,191144.0386105643
34,527183030,185889.95474402606
35,527183060,197640.776870372
36,528240050,209292.59511700878
37,528250030,226320.70044919825
38,528253020,30561.243550022133
39,528280130,207532.06285594124
40,528280180,238245.04837560165
41,531382120,221655.3792986099
42,531384030,211027.56631296687
43,531385060,189464.0021312381
44,907176010,203229.78348664334
45,907181120,207782.755609917
46,907181140,217461.46096745972
47,907187030,206429.74011219037
48,907187080,221863.7189271825
49,907192130,227352.32941753673
50,907253110,255471.7686554694
51,907254020,245908.65133337094
52,907254090,241316.85543232434
53,907405020,226519.8558432986
54,907405140,212735.999454275
55,907412040,220401.5638285107
56,907412070,219290.09712891048
57,907412080,202489.8428350864
58,527325110,210832.83497897186
59,527327050,203615.38299828954
60,527375180,155598.38337346073
61,527375210,167540.62781053712
62,527376100,167792.60608712537
63,527378140,217066.27530283434
64,527356040,212734.6659161453
65,527359050,190279.4292501486
66,528220040,179124.07121356297
67,528221060,179088.47784253326
68,528221070,185705.4214619177
69,528228290,43419.17791510024
70,909276200,125739.04965322651
71,909277090,154695.46885778708
72,909277100,119802.88420976535
73,909278020,112255.52268998558
74,914475010,146513.70033994014
75,914475030,173197.35657162569
76,914476380,188006.51707463642
77,914476430,187949.07883307408
78,531375120,184207.40270680864
79,531376010,190728.18527571275
80,527402220,126595.61865260941
81,527403040,155090.26544998237
82,527404020,138244.16951250774
83,527404030,138780.7882025186
84,527405130,97585.88941325597
85,527405160,93995.75579140335
86,527405180,101859.58287364687
87,527425060,103474.36132891709
88,527425110,109534.88218489196
89,527450280,118645.87596626393
90,527451110,123368.80321064778
91,527451320,103557.68080947292
92,527451540,115898.53552223602
93,527451640,131191.2167433491
94,528114050,296700.978609486
95,528118040,345254.6306576438
96,528166120,338588.82041386655
97,528170070,242355.63396793045
98,528172080,259724.23500334378
99,528178070,331925.1511927659
