39696,Female,Location 1,51,179.68,0.37756,0.97377,-0.10490999999999999,1,-60.5,2.5387,freq_1,sit on bed
34001,F,Location 1,49,207.5,1.0928,0.08956900000000001,-0.12771,Antenna D,-66.0,1.9497,924.25,3
62428,1,2,14,253.75,0.48308999999999996,0.33071999999999996,-0.9373299999999999,Antenna 3,-65.0,3.341,freq_9,lying
16702,Male,1,43,388.38,0.92865,-0.036746,-0.025087,4,-66.0,1.0554,C2,lying
28031,2,1,47,99.5,1.3156,-0.10565,-0.047893,Antenna A,-55.0,4.3887,921.75,label 3
43556,Female,1,52,245.98,0.43618999999999997,0.93932,0.020525,Antenna 4,-55.0,0.85903,B2,sit on bed
21134,Male,Location 1,45,21.05,0.28376,0.97377,0.077541,Antenna 4,-56.5,0.30219,920.75,label 1
440,Male,Location 1,2,35.25,1.0811,0.078086,0.24859,Antenna C,-58.0,0.32981,E2,3
12773,2,Facility A,41,402.5,1.2218,-0.19751,0.054735,4,-65.5,0.60132,920.25,label 3
568,Male,Facility A,2,232.5,0.42446000000000006,0.95081,-0.0022806,2,-56.5,0.158,freq_5,2
5141,1,Facility A,18,61.25,0.96383,0.032152999999999994,0.8871600000000001,Antenna A,-67.0,0.7808,B2,label 3
48553,Female,Facility A,53,314.55,1.0459,0.078086,-0.17332999999999998,Antenna 3,-55.0,5.8368,freq_3,lying
32620,Female,Facility A,49,108.7,0.9872799999999999,0.12402,-0.15052000000000001,Antenna D,-62.5,1.5969,freq_4,3
41213,F,Facility A,51,391.93,0.9990100000000001,0.066602,-0.15052000000000001,Antenna A,-56.0,1.1459,923.25,3
52605,1,Location 2,1,43.75,0.27203,0.15847,-1.0057,3,-62.5,5.9472,freq_3,3
74819,Female,Location 2,26,487.75,0.68242,0.84746,0.043332,Antenna A,-58.5,5.9058,B1,2
64169,F,Location 2,15,37.0,0.22513000000000002,0.51445,-0.96014,Antenna C,-61.5,1.195,922.25,3
68434,1,Location 2,17,659.0,0.060972000000000005,0.35368,-0.9829399999999999,Antenna 3,-64.5,5.3797,923.75,label 3
47673,F,Facility A,53,268.23,1.1514,0.0091865,-0.10490999999999999,Antenna 4,-62.5,1.3392,freq_3,lying
71632,Male,2,20,675.75,1.0928,-0.059712,-0.070699,Antenna C,-59.5,1.827,freq_7,label 3
53800,1,Location 2,2,33.0,0.096148,0.30775,-1.0742,Antenna C,-59.5,2.146,freq_6,lying
