51621,F,Facility A,59,472.5,1.1163,0.10105,0.020525,1,-59.0,1.5999,B1,label 3
35522,F,Location 1,50,265.55,0.61207,0.8704200000000001,0.08894400000000001,Antenna 3,-66.0,6.0531,freq_4,label 1
33830,F,Location 1,49,182.9,0.47136000000000006,0.89339,0.054735,1,-66.5,5.8138,freq_5,4
46739,F,1,53,227.35,1.1514,0.032152999999999994,-0.082102,1,-57.0,6.1758,freq_9,label 3
35931,F,1,50,299.18,1.128,0.16995,-0.0022806,1,-56.5,0.14726,freq_2,label 3
50785,Female,Facility A,57,241.0,1.0811,0.15847,-0.070699,4,-62.0,5.395,freq_3,3
62349,1,Location 2,14,233.0,0.54171,0.2733,-0.90312,2,-52.0,2.8118,freq_5,3
56886,F,2,3,71.0,0.6472399999999999,0.05511900000000001,-0.90312,Antenna C,-56.5,6.2464,A1,lying
25142,2,Facility A,46,175.88,0.63552,0.8819100000000001,0.11175,Antenna 2,-55.5,1.198,921.25,sit on chair
34686,1,1,49,264.07,0.6472399999999999,0.82449,0.2828,4,-64.0,2.798,freq_10,sit on bed
31594,M,1,48,225.0,1.1397,-0.025263,-0.070699,1,-57.5,5.7294,D2,3
53657,1,Location 2,1,523.25,0.33066,0.078086,-1.04,2,-50.0,2.7013,A2,lying
61969,Female,2,14,125.0,0.42446000000000006,0.30775,-0.94873,3,-62.5,2.4099,A2,3
56130,1,2,2,1580.7,0.33066,0.14698,-1.04,3,-60.0,0.40804,923.75,label 3
61080,F,Facility B,13,85.2,0.52999,0.15847,-0.9145200000000001,Antenna B,-53.5,2.4682,924.75,lying
3518,1,1,12,26.5,0.7645,0.74411,0.13455999999999999,Antenna 4,-58.5,5.4963,B2,sit on bed
46273,Female,Location 1,53,195.08,0.36583000000000004,0.96229,-0.036489999999999995,Antenna C,-60.0,5.2861,D1,sit on bed
1424,2,1,4,309.75,0.8934799999999999,-0.17454,-0.29875999999999997,Antenna A,-61.0,5.4073,freq_10,label 3
8373,M,Location 1,37,64.0,0.30721,0.98526,0.11175,Antenna A,-58.0,0.57831,freq_5,1
